_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.blast_protection,enchantments.depth_strider,enchantments.feather_falling,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.frost_walker,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.rejuvenate,enchantments.respite,enchantments.strong_mana,enchantments.sugar_rush,enchantments.thorns,enchantments.ultimate_bank,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.runes.CLOUDS,extraAttributes.runes.COUTURE,extraAttributes.runes.ENDERSNAKE,extraAttributes.runes.HOT,extraAttributes.runes.RAINBOW,extraAttributes.runes.REDSTONE,extraAttributes.runes.SNAKE,extraAttributes.runes.SPARKLING,extraAttributes.runes.TIDAL,extraAttributes.runes.ZAP,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp,piece_type,color_hex
8a81d807-9063-4c4f-bc8b-b58070c99123,b58070c99123,e5e533,Sat Sep 07 14:22:00 UTC 2019,0854c287c9b24cc58366c9ccfb8f34cd,0854c287c9b24cc58366c9ccfb8f34cd,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Sun Aug 13 08:56:31 UTC 2023,inv_armor,[],TRUE,LEGENDARY,fierce,Thu Mar 03 16:18:17 UTC 2022,,chestplate,#e5e533
f3aa655f-5eca-46a6-b478-cb579b4e29e1,cb579b4e29e1,eae56e,Sat Oct 19 20:51:00 UTC 2019,086ae52c703d474295070a625b925d7d,c8bc7bec629e4a568e9cf72dfe406266,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Thu Aug 10 11:37:51 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 16:25:13 UTC 2022,,chestplate,#eae56e
7bbc9432-86a6-4987-874a-8582acb7ea8e,8582acb7ea8e,ab639e,Fri Sep 06 12:52:00 UTC 2019,086ae52c703d474295070a625b925d7d,c8bc7bec629e4a568e9cf72dfe406266,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_LEGGINGS,Thu Aug 10 11:37:51 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 16:25:12 UTC 2022,,leggings,#ab639e
80d769c0-b441-4888-b389-c09592e78c5f,c09592e78c5f,f0ee8e,Sun Aug 04 02:37:00 UTC 2019,089ae0e31e49446eb0ec25a833e6c026,3f310293942143b199ef6b8dd35494af,,,5,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sun Sep 17 00:28:18 UTC 2023,inv_armor,[],TRUE,LEGENDARY,wise,Sun Mar 13 20:36:12 UTC 2022,,boots,#f0ee8e
60ebc1a9-d7b9-43c0-bea5-a77c0919423a,a77c0919423a,f0ee8e,Mon Aug 05 06:52:00 UTC 2019,089ae0e31e49446eb0ec25a833e6c026,3f310293942143b199ef6b8dd35494af,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Sun Sep 17 00:28:18 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 13 20:36:12 UTC 2022,,chestplate,#f0ee8e
6391b784-73d9-45cc-a690-5d1ba6c8ea15,5d1ba6c8ea15,f0ee8e,Mon Aug 05 06:53:00 UTC 2019,089ae0e31e49446eb0ec25a833e6c026,3f310293942143b199ef6b8dd35494af,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,,,,,,,,,OLD_DRAGON_LEGGINGS,Sun Sep 17 00:28:18 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 13 20:36:12 UTC 2022,,leggings,#f0ee8e
d42b11bf-9e99-483e-9613-4f167438519b,4f167438519b,6a3d7a,Sun Sep 08 07:07:00 UTC 2019,08e838cead494d45979f6f9473e2b10a,9e2311dfc047424ea7376b4d4905125f,,,,,,,5,,,,5,,,,,3,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,1,,,,,,,OLD_DRAGON_BOOTS,Fri Aug 11 16:17:25 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Fri Mar 04 18:10:18 UTC 2022,,boots,#6a3d7a
cd0941c0-1d86-420c-941a-e89495794ef0,e89495794ef0,ab948d,Sat Sep 14 04:11:00 UTC 2019,08f1f32972f3429488b143346fe26d4a,08f1f32972f3429488b143346fe26d4a,,3,5,,,,5,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sun Aug 13 11:45:28 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Sun Mar 13 12:34:13 UTC 2022,,boots,#ab948d
1ab2da18-3404-4840-bf54-ef62111b8dd4,ef62111b8dd4,eb92bb,Sat Sep 14 16:56:00 UTC 2019,08f1f32972f3429488b143346fe26d4a,08f1f32972f3429488b143346fe26d4a,,,,,,,5,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_LEGGINGS,Sun Aug 13 11:45:28 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Sun Mar 13 12:34:13 UTC 2022,,leggings,#eb92bb
b49b7b63-5e56-41cf-92d5-22e0a7a5eae5,22e0a7a5eae5,f17fa5,Fri Aug 30 11:11:00 UTC 2019,091d4a41290a479ea2273a9f65fc7f8f,091d4a41290a479ea2273a9f65fc7f8f,,,,,,,5,,,,5,,,,,3,,,,,,4,,,,,,,,,,,,DEFENSE=6;HEALTH=12;,3,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Thu Aug 10 02:13:23 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 02:41:12 UTC 2022,,chestplate,#f17fa5
6d5fbe8d-fdcb-46c6-8960-9f1b6cb6b30f,9f1b6cb6b30f,b0b771,Wed Nov 13 19:01:00 UTC 2019,096905e4cb2b409198ab0fdf70d0c906,a7c3110a13e2436b9717101f969285e4,,,,,,,5,,,,5,,,,,3,,,,,,1,,ebeee3f3-f16f-49a2-b2f9-cae60c3f7ce6,,,,,,,,,,,,BOSS_DROP,,,,,,,,,,,,b6d68954-9665-4cc9-9d59-73f0904bbdfd,,OLD_DRAGON_LEGGINGS,Sat May 20 09:14:09 UTC 2023,backpack-10,"[{'start': {'$date': '2022-03-13T03:46:11.453Z'}, 'end': {'$date': '2022-11-18T20:03:21.822Z'}, 'owner': {'playerUuid': 'fed2641e669547ce87df9b243899a443', 'profileUuid': '39fd3e19ef9b477a9249cab576cf0f88'}},{'end': {'$date': '2022-11-24T03:47:24.201Z'}, 'owner': {'profileUuid': '362aec96cf1c4b7faba4121ca2258835', 'playerUuid': '263c059634674bccb31d0660c1789a45'}, 'start': {'$date': '2022-11-18T20:03:21.822Z'}},{'end': {'$date': '2023-04-22T07:11:13.273Z'}, 'owner': {'profileUuid': '2b0c206adba3411ca9b27b5cd7fc5961', 'playerUuid': '2b0c206adba3411ca9b27b5cd7fc5961'}, 'start': {'$date': '2022-11-24T03:47:24.201Z'}}]",,LEGENDARY,reinforced,Sat Apr 22 07:11:13 UTC 2023,,leggings,#b0b771
32aed981-f798-4850-9855-0a2295494463,0a2295494463,e7e550,Tue Sep 03 13:56:00 UTC 2019,09768aea08324a318543868030e420a5,09768aea08324a318543868030e420a5,,3,,,,,5,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sat May 27 05:30:31 UTC 2023,wardrobe_contents,"[{'end': {'$date': '2022-06-29T07:53:40.573Z'}, 'owner': {'profileUuid': '204e4eaef8854fa59a5da7e40db4832f', 'playerUuid': 'dfea0a4e68164d429b85bf214582cc7a'}, 'start': {'$date': '2022-05-19T13:24:01.46Z'}},{'owner': {'playerUuid': '5cbb1acdab59490994c76b25d178fd8f', 'profileUuid': '079c7063816a450a879f2e7a6cdb3158'}, 'start': {'$date': '2022-06-29T07:53:40.573Z'}, 'end': {'$date': '2022-07-18T10:42:59.979Z'}},{'owner': {'playerUuid': '2d3aa167c52344b2a127647804864ed7', 'profileUuid': '9d45965349254dfa91f22e04631fac5f'}, 'start': {'$date': '2022-07-18T10:42:59.979Z'}, 'end': {'$date': '2022-08-19T15:41:01.977Z'}},{'owner': {'playerUuid': 'cd16efecbde3415a9f961e078beb1861', 'profileUuid': 'f6f47040804d443c81c895b3374d9e46'}, 'start': {'$date': '2022-08-19T15:41:01.977Z'}, 'end': {'$date': '2022-08-23T22:37:39.865Z'}},{'start': {'$date': '2022-08-23T22:37:39.865Z'}, 'end': {'$date': '2022-08-30T17:20:35.829Z'}, 'owner': {'profileUuid': 'f6b896da8cd94277a78f2c2b70cefd56', 'playerUuid': 'a64707d30e5d43deb7a9807647ff0176'}},{'start': {'$date': '2022-08-30T17:20:35.829Z'}, 'end': {'$date': '2022-09-01T05:59:35.605Z'}, 'owner': {'profileUuid': '0d742bc4d7424f1198e70943f7ad71d3', 'playerUuid': '0d742bc4d7424f1198e70943f7ad71d3'}},{'end': {'$date': '2022-09-01T15:49:36.603Z'}, 'owner': {'playerUuid': '47aa9e0dea8e4f8e80ebabcf0f952872', 'profileUuid': '8918316112794283a537be4b3a3560b8'}, 'start': {'$date': '2022-09-01T05:59:35.605Z'}}]",TRUE,LEGENDARY,superior,Thu Sep 01 15:49:36 UTC 2022,,boots,#e7e550
25ca6eea-559c-4130-874e-353aa1ff717c,353aa1ff717c,e6e541,Fri Aug 30 12:31:00 UTC 2019,09768aea08324a318543868030e420a5,09768aea08324a318543868030e420a5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Sat May 27 05:30:31 UTC 2023,wardrobe_contents,"[{'owner': {'playerUuid': '5cbb1acdab59490994c76b25d178fd8f', 'profileUuid': '079c7063816a450a879f2e7a6cdb3158'}, 'start': {'$date': '2022-06-10T00:22:45.885Z'}, 'end': {'$date': '2022-07-18T10:42:59.97Z'}},{'start': {'$date': '2022-07-18T10:42:59.97Z'}, 'end': {'$date': '2022-08-19T15:41:01.978Z'}, 'owner': {'profileUuid': '9d45965349254dfa91f22e04631fac5f', 'playerUuid': '2d3aa167c52344b2a127647804864ed7'}},{'owner': {'playerUuid': 'cd16efecbde3415a9f961e078beb1861', 'profileUuid': 'f6f47040804d443c81c895b3374d9e46'}, 'start': {'$date': '2022-08-19T15:41:01.978Z'}, 'end': {'$date': '2022-08-23T22:37:39.864Z'}},{'start': {'$date': '2022-08-23T22:37:39.864Z'}, 'end': {'$date': '2022-08-30T17:20:35.83Z'}, 'owner': {'playerUuid': 'a64707d30e5d43deb7a9807647ff0176', 'profileUuid': 'f6b896da8cd94277a78f2c2b70cefd56'}},{'start': {'$date': '2022-08-30T17:20:35.83Z'}, 'end': {'$date': '2022-09-01T05:59:35.606Z'}, 'owner': {'playerUuid': '0d742bc4d7424f1198e70943f7ad71d3', 'profileUuid': '0d742bc4d7424f1198e70943f7ad71d3'}},{'start': {'$date': '2022-09-01T05:59:35.606Z'}, 'end': {'$date': '2022-09-01T15:49:36.592Z'}, 'owner': {'profileUuid': '8918316112794283a537be4b3a3560b8', 'playerUuid': '47aa9e0dea8e4f8e80ebabcf0f952872'}}]",TRUE,LEGENDARY,light,Thu Sep 01 15:49:36 UTC 2022,,chestplate,#e6e541
0c16f2c5-0459-42cd-8c10-7bd724b701c3,7bd724b701c3,e6e540,Sun Nov 10 09:49:00 UTC 2019,09768aea08324a318543868030e420a5,09768aea08324a318543868030e420a5,,,,,,,5,,,,5,,,,,,,,,,,2,,a9091876-3564-443e-a654-856c5349ccaa,,,,,,,,,,,,BOSS_DROP,,,,,,,,,,,,e13362da-e738-4928-8c72-85639967aafc,,OLD_DRAGON_LEGGINGS,Sat May 27 05:30:31 UTC 2023,wardrobe_contents,"[{'owner': {'playerUuid': '2e8b24fced504481a9c447a1b94b8f27', 'profileUuid': '6d3a56f78e95475f97c5fc03031e2364'}, 'start': {'$date': '2022-07-31T18:35:08.179Z'}, 'end': {'$date': '2022-08-18T12:44:56.573Z'}},{'owner': {'playerUuid': '1c0c40edd8e149aa8fa82d969a27ea66', 'profileUuid': 'b1fd400a91a941f1b302d4a2ba7b0c66'}, 'start': {'$date': '2022-08-18T12:44:56.573Z'}, 'end': {'$date': '2022-08-22T02:20:38.447Z'}},{'owner': {'profileUuid': '6d5d46d057fe40a085d4e954c38809a0', 'playerUuid': '80d2f751dfc94e9b89f3def1e9ed86ba'}, 'start': {'$date': '2022-08-22T02:20:38.447Z'}, 'end': {'$date': '2022-09-01T15:49:36.597Z'}}]",,LEGENDARY,zealous,Thu Sep 01 15:49:36 UTC 2022,,leggings,#e6e540
6d9fcfe7-9590-4bae-a826-ff2e86aeadcb,ff2e86aeadcb,a24640,Mon Oct 28 19:25:00 UTC 2019,0977c08fd8784f9a91fd656b84790b61,0977c08fd8784f9a91fd656b84790b61,,,,,,,5,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_CHESTPLATE,Sat Aug 12 01:08:17 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 23:06:11 UTC 2022,,chestplate,#a24640
