_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.blast_protection,enchantments.depth_strider,enchantments.feather_falling,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.frost_walker,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.rejuvenate,enchantments.respite,enchantments.strong_mana,enchantments.sugar_rush,enchantments.thorns,enchantments.ultimate_bank,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.runes.CLOUDS,extraAttributes.runes.COUTURE,extraAttributes.runes.ENDERSNAKE,extraAttributes.runes.HOT,extraAttributes.runes.RAINBOW,extraAttributes.runes.REDSTONE,extraAttributes.runes.SNAKE,extraAttributes.runes.SPARKLING,extraAttributes.runes.TIDAL,extraAttributes.runes.ZAP,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp
bcd1ecce-8364-4c47-9316-3f2e642b5e4a,3f2e642b5e4a,1644825,Sat Oct 05 09:21:00 UTC 2019,739235dcba354b4ab55b986d654d996e,739235dcba354b4ab55b986d654d996e,,,5,,,,5,,,,5,,,,,3,,,,,,2,,,,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sat Aug 12 12:07:03 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 13:08:13 UTC 2022,
0593925f-eabf-4010-bdc6-ebe818f7a6bf,ebe818f7a6bf,1644825,Sat Sep 14 08:57:00 UTC 2019,41416edd64744eb3b5da0c312eafa159,41416edd64744eb3b5da0c312eafa159,,3,5,,,,5,,,,5,,,,,3,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sat Aug 12 20:45:47 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 13 07:56:12 UTC 2022,
3e3acada-b943-45df-b381-2540e1994bf6,2540e1994bf6,1644825,Sat Oct 26 14:12:00 UTC 2019,d609a6d9fe8e40ef96fe69a60abf8e83,d609a6d9fe8e40ef96fe69a60abf8e83,,3,5,,,,5,,,,5,,,,,,,,,,,3,,,,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,,1,,,,,,,,,OLD_DRAGON_BOOTS,Sun Aug 13 05:27:48 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 17:26:17 UTC 2022,
16276b30-2971-4a8d-8f82-2ad81ba2c31d,2ad81ba2c31d,1644825,Sun Oct 06 15:20:00 UTC 2019,da5e7640058e4d81a967400dab49163f,da5e7640058e4d81a967400dab49163f,,,5,,,,5,,,,5,,,,,,,,,,,1,,,1,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sun Aug 13 09:20:04 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Wed Mar 02 20:54:12 UTC 2022,
8e758d2c-7e9c-4de3-8039-5cdde5f7eb21,5cdde5f7eb21,1644825,Sun Nov 10 21:00:00 UTC 2019,751d7fdebc8b487383e86c1c0a9e184c,1d15e18ac9b740c2bef872b48780944d,,,,,,,5,,,,5,,,,,3,,,,,,1,,67a249d8-a70b-4424-b91c-bd3bdbd9b204,,,,,,,,,,,,BOSS_DROP,,,,,,,,,1,,,0f22cb5b-6537-4049-8c6c-036474a6eadd,,OLD_DRAGON_BOOTS,Sun Aug 13 15:48:29 UTC 2023,inv_armor,[],,LEGENDARY,godly,Fri Mar 04 02:39:13 UTC 2022,
67d48a86-60c8-4807-94ab-e7036d4e7c31,e7036d4e7c31,1644825,Fri Sep 06 12:50:00 UTC 2019,9a722f283ce74b0fb05e7c6104a16b0b,dea57dad12bf4f6e8b06c12415d8af1d,,3,5,,,,5,,,,5,,,,,3,,,,,,4,,,1,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Mon Aug 14 03:10:14 UTC 2023,inv_armor,"[{'end': {'$date': '2022-07-23T12:10:59.587Z'}, 'owner': {'playerUuid': 'dea57dad12bf4f6e8b06c12415d8af1d', 'profileUuid': 'dea57dad12bf4f6e8b06c12415d8af1d'}, 'start': {'$date': '2022-03-11T19:06:10.667Z'}}]",TRUE,LEGENDARY,smart,Sat Jul 23 12:10:59 UTC 2022,
5674b4fd-6d74-4bd6-af23-02c0c7390b86,02c0c7390b86,1644825,Tue Oct 22 08:28:00 UTC 2019,68de202195e4443b9b84276f56ea40c0,bf0de94b906940eaaf79e0c152d53863,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Mon Aug 14 06:46:59 UTC 2023,inv_armor,"[{'start': {'$date': '2023-05-14T08:15:20.291Z'}, 'end': {'$date': '2023-07-10T01:45:29.613Z'}, 'owner': {'profileUuid': 'bf0de94b906940eaaf79e0c152d53863', 'playerUuid': '68de202195e4443b9b84276f56ea40c0'}},{'start': {'$date': '2023-07-10T01:45:29.613Z'}, 'end': {'$date': '2023-07-15T15:27:48.378Z'}, 'owner': {'playerUuid': '480584d608f64136946ddbe69e1d1ae5', 'profileUuid': '77989e1fef504cd388a3258218338c90'}}]",TRUE,LEGENDARY,godly,Sat Jul 15 15:27:48 UTC 2023,
5f9ab514-949d-417f-9fc3-bee7671533bd,bee7671533bd,1644825,Tue Oct 29 23:24:00 UTC 2019,69524689daf740f284c9c98fb4a5ba72,78ccf73ae63c44f6ab0a99e9f6e01586,,3,5,,,,5,,,,5,,,,,3,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Tue Aug 22 11:05:56 UTC 2023,inv_armor,"[{'start': {'$date': '2022-03-14T20:37:13.424Z'}, 'end': {'$date': '2023-03-19T18:54:09.462Z'}, 'owner': {'playerUuid': '04cb0e49aa76497c978bf75139a288fe', 'profileUuid': 'b9a9938728b146bd9dd3eac9b2cc3267'}},{'start': {'$date': '2023-03-19T18:54:09.462Z'}, 'end': {'$date': '2023-05-07T14:53:38.881Z'}, 'owner': {'profileUuid': 'be301446f83945f5a39572f52c6eeeae', 'playerUuid': '638a3c2d6626475d88382341bfc2ed10'}},{'end': {'$date': '2023-05-07T20:46:43.482Z'}, 'owner': {'profileUuid': 'd2a4118296f8402aabde12a9a13a0bf7', 'playerUuid': '85283d0dd936498ba8b87edd4e819cac'}, 'start': {'$date': '2023-05-07T14:53:38.881Z'}},{'end': {'$date': '2023-08-09T21:44:49.696Z'}, 'owner': {'playerUuid': 'e7aaa03f9c95472f927ffd78ccc96837', 'profileUuid': 'bbb2f2ef78ba4f248e390c21fa5ad75a'}, 'start': {'$date': '2023-05-07T20:46:43.482Z'}}]",TRUE,LEGENDARY,godly,Wed Aug 09 21:44:49 UTC 2023,
4da744ec-590d-4462-90fa-25cda8895a0a,25cda8895a0a,1644825,Sun Oct 06 03:11:00 UTC 2019,1277d71f338046e298d90c9fe4055f00,1277d71f338046e298d90c9fe4055f00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Sat Sep 02 22:43:24 UTC 2023,ender_chest_contents,[],TRUE,LEGENDARY,godly,Sat Feb 26 03:57:01 UTC 2022,
c3304d62-376b-4fdc-826a-5e093df88c00,5e093df88c00,1644825,Thu Aug 15 12:37:00 UTC 2019,ef60fd7dbfba4211b8069a1a8dd41493,a20b3f6e1521420ab8d4df9bca284238,,,,,,,5,,,,5,,,,,3,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,OLD_DRAGON_BOOTS,Wed Sep 13 07:56:51 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,titanic,Thu Jan 05 16:05:35 UTC 2023,
