_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.blast_protection,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.rejuvenate,enchantments.respite,enchantments.smarty_pants,enchantments.strong_mana,enchantments.thorns,enchantments.ultimate_bank,enchantments.ultimate_bobbin_time,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp
f21115e1-4e14-4a68-8535-f4ad3f9cf8b0,f4ad3f9cf8b0,15987451,Sat Aug 17 11:04:00 UTC 2019,c39b0f54fd9b4384bf6380919b193985,c39b0f54fd9b4384bf6380919b193985,,,,5,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Fri Aug 11 20:45:16 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 13 07:28:16 UTC 2022,
5de62b05-4240-492b-83f8-929ff857eb70,929ff857eb70,16038076,Sun Sep 15 15:43:00 UTC 2019,bf6589e4ccba439288328983898f15e7,d8852e5c15c5418ca762ab44119ead2d,,,,6,,,,6,5,,5,,,,,,5,,,2,,,,,5,,"Document{{uuid=bf331131-ba1d-4125-8288-89a495305fd4, quality=PERFECT}}",PERFECT,bf331131-ba1d-4125-8288-89a495305fd4,AMETHYST,,,15,UNKNOWN,1,,,OLD_DRAGON_LEGGINGS,Tue Nov 08 08:42:52 UTC 2022,wardrobe_contents,"[{'owner': {'profileUuid': '7dd90c3387044be2b1fef34f94be6606', 'playerUuid': '7dd90c3387044be2b1fef34f94be6606'}, 'start': {'$date': '2022-03-02T00:03:26.414Z'}, 'end': {'$date': '2022-03-12T00:08:12.535Z'}},{'start': {'$date': '2022-03-12T00:08:12.535Z'}, 'end': {'$date': '2022-06-30T05:39:38.277Z'}, 'owner': {'playerUuid': 'eb94132c6b504445861326d60202a030', 'profileUuid': 'eb94132c6b504445861326d60202a030'}},{'end': {'$date': '2022-07-27T04:30:57.777Z'}, 'owner': {'profileUuid': 'd210b70082ef4569bb427e838afde249', 'playerUuid': 'd210b70082ef4569bb427e838afde249'}, 'start': {'$date': '2022-06-30T05:39:38.277Z'}},{'start': {'$date': '2022-07-27T04:30:57.777Z'}, 'end': {'$date': '2022-07-30T22:44:59.52Z'}, 'owner': {'profileUuid': 'fa5275411e714898aefd4bb2b5ece052', 'playerUuid': '949a702028dd44d88a36d37480a400ce'}},{'owner': {'profileUuid': '6d58419bc318438e88917945cface003', 'playerUuid': '3304a76b7bec4c3c81276966390f3c14'}, 'start': {'$date': '2022-07-30T22:44:59.52Z'}, 'end': {'$date': '2022-08-26T00:21:36.995Z'}},{'end': {'$date': '2022-09-16T01:23:39.047Z'}, 'owner': {'profileUuid': '5cd4b4e95d0e4e04acaa06904e0424f9', 'playerUuid': 'f9f7c62697414bb78575423f1d8fb87d'}, 'start': {'$date': '2022-08-26T00:21:36.995Z'}},{'owner': {'profileUuid': '9a2be5a57d7145bb9451085b1aa1c4f8', 'playerUuid': '2308d225b97d41e196fcdcd70bdf4678'}, 'start': {'$date': '2022-09-16T01:23:39.047Z'}, 'end': {'$date': '2022-11-05T02:24:19.75Z'}}]",TRUE,LEGENDARY,giant,Sat Nov 05 02:24:19 UTC 2022,
f6bc5841-1aae-4a3a-9abb-e4dbc00f0ee1,e4dbc00f0ee1,16050921,Fri Oct 04 01:57:00 UTC 2019,a86751a64f954d578695d1973498b3f9,1df3682d0ea24a14a79540ed53a395c3,,,,5,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Mon Aug 14 08:51:20 UTC 2023,ender_chest_contents,[],TRUE,LEGENDARY,zealous,Thu May 04 10:31:36 UTC 2023,
bf31a0a4-f168-494d-b43a-6e432341a181,6e432341a181,16096954,Fri Sep 13 17:58:00 UTC 2019,1b59de770b0542eaa7368525891a4eca,1b59de770b0542eaa7368525891a4eca,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Fri Aug 11 17:43:26 UTC 2023,inv_armor,[],TRUE,LEGENDARY,,Thu Mar 03 16:47:11 UTC 2022,
3a61462f-724e-4d9b-88b8-cc181022bc9d,cc181022bc9d,16096955,Tue Oct 08 08:53:00 UTC 2019,5dc13e4e2a1b4800880e46eb7a7a33a7,304f02ddde364e9a805d9c0b7bf0f54f,,,,5,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Wed Aug 09 17:09:14 UTC 2023,inv_armor,[],TRUE,LEGENDARY,wise,Fri Mar 04 18:00:19 UTC 2022,
d1d41ac3-fff6-4f85-96f9-b5eb0c4946d1,,16179919,Fri Nov 08 21:55:00 UTC 2019,5c6d8f6645b24a5ca37970053ffd32d6,29152e0470f547bf93fb1ba023084e5f,,,,,,,,,,,,,,,,,,,,1,,5c6db0db-ce83-48aa-8059-c69b599e9a72,,,,,,,,,,,,BOSS_DROP,,57f6ed9e-4f77-422d-861e-324d7d85aff3,,OLD_DRAGON_LEGGINGS,Tue Mar 01 21:13:55 UTC 2022,wardrobe_contents,[],,LEGENDARY,fierce,Tue Mar 01 21:13:55 UTC 2022,
3057ac24-a4c3-456d-b342-69f07198441f,69f07198441f,16249556,Wed Sep 25 20:49:00 UTC 2019,e7d37bc49620456e9797aa67290ade67,84e928170d544464b520ab3997ac4185,,,,5,,,,5,1,,,,3,,,,,,,1,,,1,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Tue Nov 22 22:44:19 UTC 2022,wardrobe_contents,[],TRUE,LEGENDARY,fierce,Fri Mar 04 17:32:11 UTC 2022,
805988d7-6639-46be-9c21-0446bb3448e1,0446bb3448e1,16249556,Sat Nov 09 18:29:00 UTC 2019,c0059a4e00a0406993c91ba82b1a350a,c0059a4e00a0406993c91ba82b1a350a,,,,5,,,,5,,,,,,,,,,,,1,,82ea2e12-419e-4064-b2ad-7b24b129cb08,,,,,,,,,,,,BOSS_DROP,,8dd6b79a-00d7-4e2b-9e47-cb81404acdd3,,OLD_DRAGON_LEGGINGS,Wed Jan 04 20:48:45 UTC 2023,inv_armor,[],,LEGENDARY,godly,Wed Mar 02 22:15:14 UTC 2022,
a888c597-583e-492f-aee9-0b984535fda9,0b984535fda9,16249556,Thu Oct 24 17:01:00 UTC 2019,8bdf3a1614514fd4b62b06052532da7f,aeb9133c9a704a529c27c6251e284c1a,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Fri Jan 06 22:38:24 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Sun May 01 17:57:01 UTC 2022,
c358559c-2a6a-4f8d-9a3c-2feb06625a3c,2feb06625a3c,16249556,Sun Sep 15 01:30:00 UTC 2019,c0dbeee3af744362bb207e602f1c4863,04c8c24a834f4d43874a0d398234e609,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Mon May 15 21:34:27 UTC 2023,inv_armor,[],TRUE,LEGENDARY,superior,Mon Mar 07 04:01:19 UTC 2022,
c7fa63d2-5bb3-4107-ab7e-d714b493f151,d714b493f151,16249556,Wed Oct 30 17:21:00 UTC 2019,a9a3015248304a5591a1d13e4a98d5f9,1137c004e7a14525abe18c12272cdbd0,,,,5,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Tue May 16 06:13:56 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Tue Mar 15 16:00:12 UTC 2022,
fd3867e7-35aa-4551-9422-de0b7009ec3d,de0b7009ec3d,16249556,Sun Oct 13 21:12:00 UTC 2019,5554203e76064904a7f396921cf78495,31aa165655304f35abc0521a133eadf4,,,,5,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,OLD_DRAGON_LEGGINGS,Tue May 16 07:47:38 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 06 16:48:12 UTC 2022,
53deee39-4bb5-4fcf-b757-666064f0d11f,666064f0d11f,16249556,Thu Aug 22 19:23:00 UTC 2019,b510b87ef07b4bcf99e32dfac0dd6839,e7124f5cb60046b9b22fbe8d6c9a4023,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Sat May 27 02:11:24 UTC 2023,ender_chest_contents,[],TRUE,LEGENDARY,titanic,Sun May 21 18:52:12 UTC 2023,
aff9375d-7dac-44df-ab05-2fadf65026a4,2fadf65026a4,16249556,Tue Aug 27 20:45:00 UTC 2019,ceef655ebfe248c7a26b7a99c272564b,b04433be61d34accab9cf9c00f74f73b,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Thu Aug 10 10:14:46 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,unpleasant,Tue Mar 15 12:10:11 UTC 2022,
c1b06ad6-874b-45d7-a7d6-d6f976aaaf1f,d6f976aaaf1f,16249556,Sun Oct 27 08:31:00 UTC 2019,ac5b402f06534c438c71551953a27856,fdad98caf69343f999f043706cbc40c1,,,,4,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Sun Aug 13 20:03:18 UTC 2023,inv_armor,[],TRUE,LEGENDARY,strong,Tue Mar 08 12:01:15 UTC 2022,
248bbaba-111d-4154-b296-57dce3728f32,57dce3728f32,16249556,Tue Sep 17 20:04:00 UTC 2019,89426fe54b524b2388ce5f0f3169239e,89426fe54b524b2388ce5f0f3169239e,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Sun Aug 13 21:17:39 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Fri Mar 04 02:24:15 UTC 2022,
1c58b947-ff18-4ce5-a885-14299e12e192,14299e12e192,16249556,Tue Aug 13 21:33:00 UTC 2019,8fc6d81223bb42069e6c34a4259ccb1c,0e7e702935744cf4886c2be2b4f98662,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Mon Aug 14 03:14:22 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Mon Mar 07 12:14:12 UTC 2022,
ba088776-b601-45a2-a082-ae147b3bd344,ae147b3bd344,16249556,Sat Nov 09 06:00:00 UTC 2019,0229524df8304cf5ad6c7fc1bca8da34,79dceacc3be74468b846dc122159b957,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Mon Aug 14 07:19:52 UTC 2023,inv_armor,[],,LEGENDARY,godly,Wed May 18 15:54:13 UTC 2022,
af9bf3b9-f689-4778-ab5e-41b077b5dc20,41b077b5dc20,16249556,Sun Sep 15 12:58:00 UTC 2019,98d9c75a23164a489fb92a9c78ddaa76,5b5aed381273420486b30dd7f39e9943,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Mon Aug 14 08:51:55 UTC 2023,inv_armor,[],TRUE,LEGENDARY,strong,Fri Mar 11 02:25:12 UTC 2022,
35b3694f-1250-4269-9b50-a03e95b3c883,a03e95b3c883,16249556,Sat Oct 05 14:33:00 UTC 2019,a71da9da736f43b49f57b4192094a7e5,a71da9da736f43b49f57b4192094a7e5,,,,5,,,,5,,,,,3,,,,,,,3,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Wed Sep 20 00:54:57 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Wed Mar 02 23:15:14 UTC 2022,
ef247d50-d419-414f-84ba-a31ca84f3c84,a31ca84f3c84,16308435,Wed Sep 18 01:53:00 UTC 2019,11e69c2a0ed0468b9bc38dc7bddbd37a,8ac90e448fda451ba9d985d297994d69,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Wed Aug 09 12:46:49 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Sun Mar 06 11:52:11 UTC 2022,
105dd3cf-3566-4bbe-8046-407cb835b5c3,407cb835b5c3,16316621,Sat Sep 14 07:45:00 UTC 2019,0fa242a4459743f9b90920b180221271,7760c02921724a73a0fd9648fbb3d8e7,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,OLD_DRAGON_LEGGINGS,Sun Jun 25 16:28:13 UTC 2023,backpack-14,[],,LEGENDARY,pure,Sun Jun 25 16:28:13 UTC 2023,
