_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.angler,enchantments.blast_protection,enchantments.counter_strike,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.reflection,enchantments.rejuvenate,enchantments.respite,enchantments.strong_mana,enchantments.thorns,enchantments.true_protection,enchantments.ultimate_bank,enchantments.ultimate_bobbin_time,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.runes.ENCHANT,extraAttributes.runes.GRAND_SEARING,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp
f5910dc3-0c6f-4a44-be72-d553a80f15c8,d553a80f15c8,10511680,Tue Jul 06 11:54:00 UTC 2021,2a4691d32822449d8195e7e4220b25df,18fe39309da044d7af286fe0c978cd32,,,,,,5,,,,5,,,,,3,,,,,,,,,,,,,3,,,,,,,,,QUICK_CRAFTING,,,,,,OLD_DRAGON_CHESTPLATE,Tue Nov 22 12:54:17 UTC 2022,inv_contents,"[{'owner': {'playerUuid': '9770d9a500e1442da6c09c1e53bc52b7', 'profileUuid': '63e18a4bf00844d4ae8e64eca145a807'}, 'start': {'$date': '2022-03-09T18:15:15.896Z'}, 'end': {'$date': '2022-11-22T12:54:17.86Z'}}]",TRUE,LEGENDARY,titanic,Tue Nov 22 12:54:17 UTC 2022,
66c2119f-340f-4d3a-9650-3e0a263a4be9,3e0a263a4be9,10511680,Thu Aug 26 19:25:00 UTC 2021,b1ecae928f0849f39bb2ab7321b227be,7c19da296a63414bbc5fd965b042d011,,,,,,5,,,,5,,,,,,,,,,,,,,,3a99a9d0-46bd-4345-9949-73a6b401a7f7,,,,,,,,,,,,BOSS_DROP,,,,a6131a93-e97d-4f91-83a8-54aded3ef4b5,,OLD_DRAGON_CHESTPLATE,Wed Nov 23 02:22:19 UTC 2022,inv_armor,[],TRUE,LEGENDARY,titanic,Mon Mar 14 18:31:18 UTC 2022,
a9add206-b7d8-4443-afed-cd669a94b2d3,cd669a94b2d3,10511680,Tue Nov 03 19:28:00 UTC 2020,68cf7ffbb6b74cb694f382a9e8438922,b747f60b318b4688ab9e466432f6ae6f,,,,,,5,,,,5,,,,,3,,,,,,,,2,,97ba125b-1fd0-41fe-ac5c-b763a9cfa7c8,,,5,,,,,,,,,BOSS_DROP,,,,70e44eb9-ccee-4bd2-bd3e-3ce4aa65c277,,OLD_DRAGON_CHESTPLATE,Wed Nov 30 23:14:18 UTC 2022,wardrobe_contents,[],,LEGENDARY,giant,Thu Mar 03 15:14:21 UTC 2022,
687b160b-fa94-45b1-a22f-529390e4a1de,529390e4a1de,10511680,Fri Oct 22 01:10:00 UTC 2021,d596547afc96476d9b3a516153f61f52,93149f9906a14668a56b809ed4c45936,,,,,,5,,,,5,,5,,,3,1,,,,,,,,,4e4d8fa6-694c-4ee2-a60f-943bf6025b19,,,5,,FINE,,,AMETHYST,['DEFENSIVE_0'],,10,BOSS_DROP,,,,9c825b4b-67ac-4fdb-b0d7-8274133385cd,,OLD_DRAGON_CHESTPLATE,Thu Dec 01 19:38:19 UTC 2022,inv_armor,[],TRUE,LEGENDARY,giant,Thu Mar 10 09:58:12 UTC 2022,
5787f9b2-fb24-4b38-8e32-f642d7ee1007,f642d7ee1007,10511680,Mon Apr 13 00:55:00 UTC 2020,92ea303c2d954275b99ea7111fd1bf85,3609a63ee6cf45d4b22d87b840745dae,,,,,,5,,,,5,,,,,,,,,,,,,2,,517cd519-d472-44a9-844b-4ad91a648efe,,,,,,,,,,,,BOSS_DROP,,,,9fa682f8-269d-4f69-8b01-f099095a753c,,OLD_DRAGON_CHESTPLATE,Sat Dec 10 00:26:19 UTC 2022,wardrobe_contents,[],TRUE,LEGENDARY,fierce,Sun Mar 13 07:18:24 UTC 2022,
062fef1d-e032-46f7-8f6b-e1e9713f0e5f,e1e9713f0e5f,10511680,Sun Jan 03 10:05:00 UTC 2021,208dcce926194334b90352f853bd212d,208dcce926194334b90352f853bd212d,,,,,,5,,,,5,,,,,3,,,,,,,,,,ca6b1f6c-07d3-43bc-b85f-4ec4b6db30dd,,,0,,,,,,,,1,BOSS_DROP,,,,35df75ae-887e-4abe-af4e-b97a827072f1,,OLD_DRAGON_CHESTPLATE,Sun Dec 11 15:34:18 UTC 2022,wardrobe_contents,[],,LEGENDARY,fierce,Sun Mar 13 12:43:10 UTC 2022,
b1964141-826f-47d6-8535-0b7cbd00013d,0b7cbd00013d,10511680,Mon Aug 03 12:05:00 UTC 2020,b8f5e1a7839f4adfb0fe8b55fceb83f4,7329673e24ab44799cff1eac3ddca598,,,,,,5,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,QUICK_CRAFTING,,,,,,OLD_DRAGON_CHESTPLATE,Sat Dec 17 00:48:22 UTC 2022,inv_armor,[],TRUE,LEGENDARY,wise,Sat Dec 10 10:41:18 UTC 2022,
cee8e762-0ab5-47c5-b8ab-cd05d650316f,cd05d650316f,10511680,Wed Jun 09 06:49:00 UTC 2021,c11d4513d98845f682a28d0cad7352f8,c11d4513d98845f682a28d0cad7352f8,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,10,QUICK_CRAFTING,,,,,,OLD_DRAGON_CHESTPLATE,Sun Dec 18 21:08:45 UTC 2022,ender_chest_contents,[],TRUE,LEGENDARY,giant,Sun Mar 13 20:49:28 UTC 2022,
2d0697b1-88b3-40aa-9fb3-1bfbb15fb6da,1bfbb15fb6da,10511680,Tue Nov 05 11:16:00 UTC 2019,1b1e43b6c2e5431aa428f36047b5f8d9,1b1e43b6c2e5431aa428f36047b5f8d9,,,,,,5,,,,5,,,,,3,,,,,,,,1,,bd8efd8d-65fe-4e19-8407-fc571381288a,,,,,,,,,,,,BOSS_DROP,,,,f46857a9-3c30-4f35-8b9b-bc9036a2a5bf,,OLD_DRAGON_CHESTPLATE,Fri Dec 23 21:46:21 UTC 2022,ender_chest_contents,[],,LEGENDARY,pure,Thu Mar 03 14:11:13 UTC 2022,
85ec5975-ad72-4c4e-a144-7fb0f23b8923,7fb0f23b8923,10511680,Mon May 24 12:40:00 UTC 2021,94036800c73c405b86a86ac067152def,3eb4785aa91c4836aeeeb98a9e46c7f9,,,,,,5,,,,,,2,,,,,4,,,,,,,,1a03a672-815f-4458-9281-8065ae5e67d2,,1,,,FLAWED,,,AMETHYST,,,1,BOSS_DROP,,,,e68eaed3-49e7-433b-baff-5fa09966f754,,OLD_DRAGON_CHESTPLATE,Tue Dec 27 23:59:17 UTC 2022,inv_contents,"[{'owner': {'playerUuid': '960f7f09bc054929b59099ebd3ae69be', 'profileUuid': '1cdc47e5f2434fe884d42cce1bfe139f'}, 'start': {'$date': '2022-03-03T07:02:15.185Z'}, 'end': {'$date': '2022-10-16T12:12:17.243Z'}}]",TRUE,LEGENDARY,necrotic,Sun Oct 16 12:12:17 UTC 2022,
